Iteration,Best_Clique_Size,Best_Clique
0,10,"[326, 328, 233, 17, 473, 117, 104, 33, 129, 207]"
1,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
2,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
3,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
4,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
5,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
6,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
7,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
8,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
9,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
10,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
11,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
12,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
13,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
14,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
15,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
16,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
17,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
18,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
19,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
20,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
21,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
22,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
23,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
24,11,"[453, 151, 36, 229, 268, 141, 411, 66, 432, 167, 488]"
25,12,"[287, 437, 323, 307, 118, 185, 233, 367, 203, 33, 398, 90]"
26,12,"[287, 437, 323, 307, 118, 185, 233, 367, 203, 33, 398, 90]"
27,12,"[287, 437, 323, 307, 118, 185, 233, 367, 203, 33, 398, 90]"
28,12,"[287, 437, 323, 307, 118, 185, 233, 367, 203, 33, 398, 90]"
29,12,"[287, 437, 323, 307, 118, 185, 233, 367, 203, 33, 398, 90]"
30,12,"[287, 437, 323, 307, 118, 185, 233, 367, 203, 33, 398, 90]"
31,12,"[287, 437, 323, 307, 118, 185, 233, 367, 203, 33, 398, 90]"
32,12,"[287, 437, 323, 307, 118, 185, 233, 367, 203, 33, 398, 90]"
33,12,"[287, 437, 323, 307, 118, 185, 233, 367, 203, 33, 398, 90]"
34,12,"[287, 437, 323, 307, 118, 185, 233, 367, 203, 33, 398, 90]"
35,12,"[287, 437, 323, 307, 118, 185, 233, 367, 203, 33, 398, 90]"
