Iteration,Best_Clique_Size,Best_Clique
0,11,"[105, 35, 27, 415, 246, 480, 308, 100, 251, 231, 79]"
1,11,"[105, 35, 27, 415, 246, 480, 308, 100, 251, 231, 79]"
2,11,"[105, 35, 27, 415, 246, 480, 308, 100, 251, 231, 79]"
3,11,"[105, 35, 27, 415, 246, 480, 308, 100, 251, 231, 79]"
4,11,"[105, 35, 27, 415, 246, 480, 308, 100, 251, 231, 79]"
5,11,"[105, 35, 27, 415, 246, 480, 308, 100, 251, 231, 79]"
6,11,"[105, 35, 27, 415, 246, 480, 308, 100, 251, 231, 79]"
7,11,"[105, 35, 27, 415, 246, 480, 308, 100, 251, 231, 79]"
8,11,"[105, 35, 27, 415, 246, 480, 308, 100, 251, 231, 79]"
9,11,"[105, 35, 27, 415, 246, 480, 308, 100, 251, 231, 79]"
10,11,"[105, 35, 27, 415, 246, 480, 308, 100, 251, 231, 79]"
11,11,"[105, 35, 27, 415, 246, 480, 308, 100, 251, 231, 79]"
12,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
13,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
14,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
15,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
16,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
17,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
18,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
19,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
20,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
21,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
22,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
23,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
24,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
25,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
26,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
27,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
28,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
29,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
30,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
31,12,"[332, 135, 22, 351, 138, 44, 89, 364, 250, 440, 173, 209]"
