Iteration,Best_Clique_Size,Best_Clique
0,32,"[498, 349, 247, 561, 586, 375, 295, 583, 327, 350, 458, 392, 357, 464, 316, 635, 367, 211, 372, 347, 8, 114, 75, 53, 677, 121, 281, 521, 47, 607, 524, 104]"
1,32,"[498, 349, 247, 561, 586, 375, 295, 583, 327, 350, 458, 392, 357, 464, 316, 635, 367, 211, 372, 347, 8, 114, 75, 53, 677, 121, 281, 521, 47, 607, 524, 104]"
2,32,"[498, 349, 247, 561, 586, 375, 295, 583, 327, 350, 458, 392, 357, 464, 316, 635, 367, 211, 372, 347, 8, 114, 75, 53, 677, 121, 281, 521, 47, 607, 524, 104]"
3,32,"[498, 349, 247, 561, 586, 375, 295, 583, 327, 350, 458, 392, 357, 464, 316, 635, 367, 211, 372, 347, 8, 114, 75, 53, 677, 121, 281, 521, 47, 607, 524, 104]"
4,32,"[498, 349, 247, 561, 586, 375, 295, 583, 327, 350, 458, 392, 357, 464, 316, 635, 367, 211, 372, 347, 8, 114, 75, 53, 677, 121, 281, 521, 47, 607, 524, 104]"
5,32,"[498, 349, 247, 561, 586, 375, 295, 583, 327, 350, 458, 392, 357, 464, 316, 635, 367, 211, 372, 347, 8, 114, 75, 53, 677, 121, 281, 521, 47, 607, 524, 104]"
6,32,"[498, 349, 247, 561, 586, 375, 295, 583, 327, 350, 458, 392, 357, 464, 316, 635, 367, 211, 372, 347, 8, 114, 75, 53, 677, 121, 281, 521, 47, 607, 524, 104]"
7,32,"[498, 349, 247, 561, 586, 375, 295, 583, 327, 350, 458, 392, 357, 464, 316, 635, 367, 211, 372, 347, 8, 114, 75, 53, 677, 121, 281, 521, 47, 607, 524, 104]"
8,32,"[498, 349, 247, 561, 586, 375, 295, 583, 327, 350, 458, 392, 357, 464, 316, 635, 367, 211, 372, 347, 8, 114, 75, 53, 677, 121, 281, 521, 47, 607, 524, 104]"
9,32,"[498, 349, 247, 561, 586, 375, 295, 583, 327, 350, 458, 392, 357, 464, 316, 635, 367, 211, 372, 347, 8, 114, 75, 53, 677, 121, 281, 521, 47, 607, 524, 104]"
10,33,"[316, 652, 169, 151, 15, 551, 392, 575, 252, 327, 51, 347, 322, 68, 586, 114, 75, 53, 324, 188, 260, 592, 192, 583, 121, 648, 350, 607, 494, 86, 401, 211, 467]"
