Iteration,Best_Clique_Size,Best_Clique
0,28,"[625, 551, 84, 53, 401, 350, 180, 114, 669, 635, 86, 510, 372, 47, 467, 417, 75, 296, 611, 512, 607, 356, 494, 49, 580, 648, 672, 578]"
1,28,"[625, 551, 84, 53, 401, 350, 180, 114, 669, 635, 86, 510, 372, 47, 467, 417, 75, 296, 611, 512, 607, 356, 494, 49, 580, 648, 672, 578]"
2,29,"[353, 419, 599, 117, 307, 409, 435, 622, 76, 648, 467, 580, 666, 356, 144, 589, 151, 53, 378, 465, 29, 118, 372, 367, 78, 677, 128, 105, 386]"
3,30,"[218, 327, 252, 53, 3, 151, 548, 372, 360, 356, 251, 49, 267, 666, 344, 433, 350, 118, 494, 607, 465, 677, 148, 396, 163, 648, 275, 611, 521, 575]"
4,30,"[218, 327, 252, 53, 3, 151, 548, 372, 360, 356, 251, 49, 267, 666, 344, 433, 350, 118, 494, 607, 465, 677, 148, 396, 163, 648, 275, 611, 521, 575]"
5,30,"[218, 327, 252, 53, 3, 151, 548, 372, 360, 356, 251, 49, 267, 666, 344, 433, 350, 118, 494, 607, 465, 677, 148, 396, 163, 648, 275, 611, 521, 575]"
6,30,"[218, 327, 252, 53, 3, 151, 548, 372, 360, 356, 251, 49, 267, 666, 344, 433, 350, 118, 494, 607, 465, 677, 148, 396, 163, 648, 275, 611, 521, 575]"
7,30,"[218, 327, 252, 53, 3, 151, 548, 372, 360, 356, 251, 49, 267, 666, 344, 433, 350, 118, 494, 607, 465, 677, 148, 396, 163, 648, 275, 611, 521, 575]"
8,31,"[372, 96, 155, 587, 419, 127, 666, 211, 30, 284, 259, 325, 141, 677, 512, 465, 13, 534, 296, 294, 316, 607, 344, 72, 239, 29, 251, 121, 16, 392, 105]"
9,31,"[372, 96, 155, 587, 419, 127, 666, 211, 30, 284, 259, 325, 141, 677, 512, 465, 13, 534, 296, 294, 316, 607, 344, 72, 239, 29, 251, 121, 16, 392, 105]"
10,31,"[372, 96, 155, 587, 419, 127, 666, 211, 30, 284, 259, 325, 141, 677, 512, 465, 13, 534, 296, 294, 316, 607, 344, 72, 239, 29, 251, 121, 16, 392, 105]"
11,31,"[372, 96, 155, 587, 419, 127, 666, 211, 30, 284, 259, 325, 141, 677, 512, 465, 13, 534, 296, 294, 316, 607, 344, 72, 239, 29, 251, 121, 16, 392, 105]"
12,31,"[372, 96, 155, 587, 419, 127, 666, 211, 30, 284, 259, 325, 141, 677, 512, 465, 13, 534, 296, 294, 316, 607, 344, 72, 239, 29, 251, 121, 16, 392, 105]"
13,31,"[372, 96, 155, 587, 419, 127, 666, 211, 30, 284, 259, 325, 141, 677, 512, 465, 13, 534, 296, 294, 316, 607, 344, 72, 239, 29, 251, 121, 16, 392, 105]"
14,31,"[372, 96, 155, 587, 419, 127, 666, 211, 30, 284, 259, 325, 141, 677, 512, 465, 13, 534, 296, 294, 316, 607, 344, 72, 239, 29, 251, 121, 16, 392, 105]"
15,31,"[372, 96, 155, 587, 419, 127, 666, 211, 30, 284, 259, 325, 141, 677, 512, 465, 13, 534, 296, 294, 316, 607, 344, 72, 239, 29, 251, 121, 16, 392, 105]"
16,34,"[437, 600, 68, 246, 358, 281, 561, 666, 111, 386, 344, 128, 188, 117, 296, 47, 322, 490, 360, 114, 648, 121, 116, 524, 417, 75, 350, 575, 512, 578, 349, 316, 72, 105]"
17,34,"[437, 600, 68, 246, 358, 281, 561, 666, 111, 386, 344, 128, 188, 117, 296, 47, 322, 490, 360, 114, 648, 121, 116, 524, 417, 75, 350, 575, 512, 578, 349, 316, 72, 105]"
18,34,"[437, 600, 68, 246, 358, 281, 561, 666, 111, 386, 344, 128, 188, 117, 296, 47, 322, 490, 360, 114, 648, 121, 116, 524, 417, 75, 350, 575, 512, 578, 349, 316, 72, 105]"
19,34,"[437, 600, 68, 246, 358, 281, 561, 666, 111, 386, 344, 128, 188, 117, 296, 47, 322, 490, 360, 114, 648, 121, 116, 524, 417, 75, 350, 575, 512, 578, 349, 316, 72, 105]"
20,34,"[437, 600, 68, 246, 358, 281, 561, 666, 111, 386, 344, 128, 188, 117, 296, 47, 322, 490, 360, 114, 648, 121, 116, 524, 417, 75, 350, 575, 512, 578, 349, 316, 72, 105]"
21,34,"[437, 600, 68, 246, 358, 281, 561, 666, 111, 386, 344, 128, 188, 117, 296, 47, 322, 490, 360, 114, 648, 121, 116, 524, 417, 75, 350, 575, 512, 578, 349, 316, 72, 105]"
22,34,"[437, 600, 68, 246, 358, 281, 561, 666, 111, 386, 344, 128, 188, 117, 296, 47, 322, 490, 360, 114, 648, 121, 116, 524, 417, 75, 350, 575, 512, 578, 349, 316, 72, 105]"
23,34,"[437, 600, 68, 246, 358, 281, 561, 666, 111, 386, 344, 128, 188, 117, 296, 47, 322, 490, 360, 114, 648, 121, 116, 524, 417, 75, 350, 575, 512, 578, 349, 316, 72, 105]"
24,34,"[437, 600, 68, 246, 358, 281, 561, 666, 111, 386, 344, 128, 188, 117, 296, 47, 322, 490, 360, 114, 648, 121, 116, 524, 417, 75, 350, 575, 512, 578, 349, 316, 72, 105]"
25,34,"[437, 600, 68, 246, 358, 281, 561, 666, 111, 386, 344, 128, 188, 117, 296, 47, 322, 490, 360, 114, 648, 121, 116, 524, 417, 75, 350, 575, 512, 578, 349, 316, 72, 105]"
26,34,"[437, 600, 68, 246, 358, 281, 561, 666, 111, 386, 344, 128, 188, 117, 296, 47, 322, 490, 360, 114, 648, 121, 116, 524, 417, 75, 350, 575, 512, 578, 349, 316, 72, 105]"
27,34,"[437, 600, 68, 246, 358, 281, 561, 666, 111, 386, 344, 128, 188, 117, 296, 47, 322, 490, 360, 114, 648, 121, 116, 524, 417, 75, 350, 575, 512, 578, 349, 316, 72, 105]"
28,34,"[437, 600, 68, 246, 358, 281, 561, 666, 111, 386, 344, 128, 188, 117, 296, 47, 322, 490, 360, 114, 648, 121, 116, 524, 417, 75, 350, 575, 512, 578, 349, 316, 72, 105]"
29,34,"[437, 600, 68, 246, 358, 281, 561, 666, 111, 386, 344, 128, 188, 117, 296, 47, 322, 490, 360, 114, 648, 121, 116, 524, 417, 75, 350, 575, 512, 578, 349, 316, 72, 105]"
